"日付","メンバー合計数","承認待ちのメンバー","承認されたメンバーリクエスト","却下されたメンバーリクエスト","投稿","コメント","リアクション","アクティブなメンバー"
"2019-11-30","0","0","0","0","6","5","1","3"
"2019-12-01","4","0","0","0","3","7","2","4"
"2019-12-02","5","0","0","0","0","1","2","3"
"2019-12-03","5","0","0","0","0","2","2","3"
"2019-12-04","5","0","0","0","2","1","0","4"
"2019-12-05","7","0","0","0","3","34","13","7"
"2019-12-06","7","0","0","0","0","1","1","4"
"2019-12-07","8","0","0","0","0","0","2","4"
"2019-12-08","9","0","0","0","5","8","3","6"
"2019-12-09","9","0","0","0","0","0","0","3"
"2019-12-10","9","0","0","0","2","4","0","6"
"2019-12-11","9","0","0","0","1","18","9","7"
"2019-12-12","11","0","0","0","4","4","10","7"
"2019-12-13","11","0","0","0","4","19","6","9"
"2019-12-14","11","0","0","0","5","7","9","7"
"2019-12-15","11","0","0","0","1","1","2","7"
"2019-12-16","13","0","0","0","3","3","3","10"
"2019-12-17","14","0","1","0","1","23","2","7"
"2019-12-18","14","0","0","0","0","18","5","10"
"2019-12-19","14","0","0","0","1","2","2","8"
"2019-12-20","14","0","0","0","1","0","3","9"
"2019-12-21","14","0","0","0","17","1","2","10"
"2019-12-22","14","0","0","0","2","2","0","9"
"2019-12-23","14","0","0","0","2","1","4","13"
"2019-12-24","14","0","0","0","3","1","2","10"
"2019-12-25","14","0","0","0","0","0","0","5"
"2019-12-26","14","0","0","0","0","0","0","2"
"2019-12-27","14","0","0","0","0","0","0","2"
"2019-12-28","14","0","0","0","4","0","8","7"
"2019-12-29","14","0","0","0","1","3","2","9"
"2019-12-30","15","0","0","0","1","12","3","10"
"2019-12-31","15","0","0","0","2","2","4","8"
"2020-01-01","17","0","0","0","1","3","4","13"
"2020-01-02","17","0","0","0","4","9","10","10"
"2020-01-03","19","0","2","0","0","0","4","13"
"2020-01-04","19","0","0","0","0","0","1","6"
"2020-01-05","18","0","0","0","0","0","0","3"
"2020-01-06","18","0","0","0","0","0","0","3"
"2020-01-07","19","0","0","0","0","0","0","3"
"2020-01-08","19","0","0","0","0","0","0","2"
"2020-01-09","19","0","0","0","1","1","1","6"
"2020-01-10","19","0","0","0","1","3","6","10"
"2020-01-11","20","0","0","0","0","2","1","9"
"2020-01-12","20","0","0","0","0","0","0","2"
"2020-01-13","21","0","1","0","0","0","0","4"
"2020-01-14","21","0","0","0","0","0","0","3"
"2020-01-15","21","0","0","0","3","4","9","14"
"2020-01-16","21","0","0","0","2","9","9","14"
"2020-01-17","21","0","0","0","0","0","6","14"
"2020-01-18","21","0","0","0","0","2","2","9"
"2020-01-19","21","0","0","0","4","8","10","13"
"2020-01-20","21","0","0","0","1","4","3","11"
