,日付,メンバー合計数,承認待ちのメンバー,承認されたメンバーリクエスト,却下されたメンバーリクエスト,投稿,コメント,リアクション,アクティブなメンバー,year,month,day,week_day
1,2019-12-01,4,0,0,0,3,7,2,4,2019,12,1,6
2,2019-12-02,5,0,0,0,0,1,2,3,2019,12,2,0
3,2019-12-03,5,0,0,0,0,2,2,3,2019,12,3,1
4,2019-12-04,5,0,0,0,2,1,0,4,2019,12,4,2
5,2019-12-05,7,0,0,0,3,34,13,7,2019,12,5,3
6,2019-12-06,7,0,0,0,0,1,1,4,2019,12,6,4
7,2019-12-07,8,0,0,0,0,0,2,4,2019,12,7,5
8,2019-12-08,9,0,0,0,5,8,3,6,2019,12,8,6
9,2019-12-09,9,0,0,0,0,0,0,3,2019,12,9,0
10,2019-12-10,9,0,0,0,2,4,0,6,2019,12,10,1
11,2019-12-11,9,0,0,0,1,18,9,7,2019,12,11,2
12,2019-12-12,11,0,0,0,4,4,10,7,2019,12,12,3
13,2019-12-13,11,0,0,0,4,19,6,9,2019,12,13,4
14,2019-12-14,11,0,0,0,5,7,9,7,2019,12,14,5
15,2019-12-15,11,0,0,0,1,1,2,7,2019,12,15,6
16,2019-12-16,13,0,0,0,3,3,3,10,2019,12,16,0
17,2019-12-17,14,0,1,0,1,23,2,7,2019,12,17,1
18,2019-12-18,14,0,0,0,0,18,5,10,2019,12,18,2
19,2019-12-19,14,0,0,0,1,2,2,8,2019,12,19,3
20,2019-12-20,14,0,0,0,1,0,3,9,2019,12,20,4
21,2019-12-21,14,0,0,0,17,1,2,10,2019,12,21,5
22,2019-12-22,14,0,0,0,2,2,0,9,2019,12,22,6
23,2019-12-23,14,0,0,0,2,1,4,13,2019,12,23,0
24,2019-12-24,14,0,0,0,3,1,2,10,2019,12,24,1
25,2019-12-25,14,0,0,0,0,0,0,5,2019,12,25,2
26,2019-12-26,14,0,0,0,0,0,0,2,2019,12,26,3
27,2019-12-27,14,0,0,0,0,0,0,2,2019,12,27,4
28,2019-12-28,14,0,0,0,4,0,8,7,2019,12,28,5
29,2019-12-29,14,0,0,0,1,3,2,9,2019,12,29,6
30,2019-12-30,15,0,0,0,1,12,3,10,2019,12,30,0
31,2019-12-31,15,0,0,0,2,2,4,8,2019,12,31,1
32,2020-01-01,17,0,0,0,1,3,4,13,2020,1,1,2
33,2020-01-02,17,0,0,0,4,9,10,10,2020,1,2,3
34,2020-01-03,19,0,2,0,0,0,4,13,2020,1,3,4
35,2020-01-04,19,0,0,0,0,0,1,6,2020,1,4,5
36,2020-01-05,18,0,0,0,0,0,0,3,2020,1,5,6
37,2020-01-06,18,0,0,0,0,0,0,3,2020,1,6,0
38,2020-01-07,19,0,0,0,0,0,0,3,2020,1,7,1
39,2020-01-08,19,0,0,0,0,0,0,2,2020,1,8,2
40,2020-01-09,19,0,0,0,1,1,1,6,2020,1,9,3
41,2020-01-10,19,0,0,0,1,3,6,10,2020,1,10,4
42,2020-01-11,20,0,0,0,0,2,1,9,2020,1,11,5
43,2020-01-12,20,0,0,0,0,0,0,2,2020,1,12,6
44,2020-01-13,21,0,1,0,0,0,0,4,2020,1,13,0
45,2020-01-14,21,0,0,0,0,0,0,3,2020,1,14,1
46,2020-01-15,21,0,0,0,3,4,9,14,2020,1,15,2
47,2020-01-16,21,0,0,0,2,9,9,14,2020,1,16,3
48,2020-01-17,21,0,0,0,0,0,6,14,2020,1,17,4
49,2020-01-18,21,0,0,0,0,2,2,9,2020,1,18,5
50,2020-01-19,21,0,0,0,4,8,10,13,2020,1,19,6
51,2020-01-20,21,0,0,0,1,4,3,11,2020,1,20,0
52,2020-01-21,22,0,1,0,2,16,5,14,2020,1,21,1
53,2020-01-22,22,0,0,0,0,7,18,12,2020,1,22,2
54,2020-01-23,22,0,0,0,0,0,0,5,2020,1,23,3
55,2020-01-24,23,0,0,0,5,10,4,12,2020,1,24,4
56,2020-01-25,24,0,1,0,2,4,5,15,2020,1,25,5
57,2020-01-26,25,0,0,0,1,5,9,14,2020,1,26,6
58,2020-01-27,25,0,0,0,1,0,1,9,2020,1,27,0
59,2020-01-28,25,0,0,0,0,0,1,11,2020,1,28,1
60,2020-01-29,25,0,0,0,3,2,1,10,2020,1,29,2
61,2020-01-30,25,0,0,0,2,2,0,14,2020,1,30,3
62,2020-01-31,25,0,0,0,2,1,6,16,2020,1,31,4
63,2020-02-01,25,0,0,0,2,4,3,16,2020,2,1,5
64,2020-02-02,25,0,0,0,3,0,0,13,2020,2,2,6
65,2020-02-03,25,0,0,0,1,1,0,11,2020,2,3,0
66,2020-02-04,25,0,0,0,0,0,4,13,2020,2,4,1
67,2020-02-05,25,0,0,0,2,0,0,10,2020,2,5,2
68,2020-02-06,25,0,0,0,0,0,1,11,2020,2,6,3
69,2020-02-07,25,0,0,0,0,0,0,9,2020,2,7,4
70,2020-02-08,25,0,0,0,1,0,0,12,2020,2,8,5
71,2020-02-09,26,0,1,0,3,1,0,12,2020,2,9,6
72,2020-02-10,26,0,0,0,0,0,0,11,2020,2,10,0
73,2020-02-11,27,0,1,0,1,1,2,11,2020,2,11,1
74,2020-02-12,28,0,1,0,1,0,1,14,2020,2,12,2
75,2020-02-13,28,0,0,0,2,2,2,12,2020,2,13,3
76,2020-02-14,29,0,1,0,0,0,0,8,2020,2,14,4
77,2020-02-15,31,0,2,0,1,5,1,19,2020,2,15,5
78,2020-02-16,33,0,2,0,3,4,4,17,2020,2,16,6
79,2020-02-17,33,0,0,0,1,0,6,21,2020,2,17,0
80,2020-02-18,33,0,0,0,1,0,3,17,2020,2,18,1
81,2020-02-19,33,0,0,0,1,1,9,17,2020,2,19,2
82,2020-02-20,33,0,0,0,1,6,6,16,2020,2,20,3
83,2020-02-21,34,0,1,0,3,6,6,20,2020,2,21,4
84,2020-02-22,34,0,0,0,0,0,0,10,2020,2,22,5
85,2020-02-23,34,0,0,0,1,0,0,17,2020,2,23,6
86,2020-02-24,35,0,0,0,2,1,0,12,2020,2,24,0
87,2020-02-25,35,0,0,0,1,0,2,21,2020,2,25,1
88,2020-02-26,35,0,0,0,2,1,4,19,2020,2,26,2
89,2020-02-27,35,0,0,0,0,1,0,8,2020,2,27,3
90,2020-02-28,36,0,1,0,2,0,3,13,2020,2,28,4
91,2020-02-29,36,0,0,0,1,1,0,13,2020,2,29,5
92,2020-03-01,36,0,0,0,0,0,0,14,2020,3,1,6
93,2020-03-02,36,0,0,0,0,0,1,7,2020,3,2,0
94,2020-03-03,41,0,5,0,1,1,4,24,2020,3,3,1
95,2020-03-04,42,0,1,0,1,3,5,21,2020,3,4,2
96,2020-03-05,42,0,0,0,0,1,2,9,2020,3,5,3
97,2020-03-06,42,0,0,0,0,1,0,10,2020,3,6,4
98,2020-03-07,42,0,0,0,1,1,1,7,2020,3,7,5
99,2020-03-08,43,0,1,0,0,0,0,8,2020,3,8,6
100,2020-03-09,44,0,1,0,0,0,0,10,2020,3,9,0
101,2020-03-10,44,0,0,0,1,0,2,24,2020,3,10,1
102,2020-03-11,44,0,0,0,0,0,0,10,2020,3,11,2
103,2020-03-12,44,0,0,0,0,0,0,5,2020,3,12,3
104,2020-03-13,45,0,1,0,0,0,0,6,2020,3,13,4
105,2020-03-14,45,0,0,0,0,1,0,6,2020,3,14,5
106,2020-03-15,45,0,0,0,0,1,0,4,2020,3,15,6
107,2020-03-16,45,0,0,0,0,0,0,3,2020,3,16,0
108,2020-03-17,45,0,0,0,2,10,8,23,2020,3,17,1
